Track Name,Artist,Streams,URL,Number of Appearnaces in the Top 200,ID,Tempo,Key,Duration,Loudness,Time Signature,Number of Samples
Too Good At Goodbyes,Sam Smith,4576010,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV,47,1mXVgsBdtIVeCLJnSnmtdV,91.873,5,201.0,-8.237,4,4432050
Thunder,Imagine Dragons,4668077,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB,47,1zB4vmk8tFRmM9UULNzbLB,167.997,0,187.14667,-4.833,4,4126584
2002,Anne-Marie,4641240,https://open.spotify.com/track/2BgEsaKNfHUdlh97KmvFyo,47,2BgEsaKNfHUdlh97KmvFyo,96.133,1,186.98666,-2.881,4,4123056
Going Bad (feat. Drake),Meek Mill,5307008,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc,47,2IRZnDFmlqMuOrYOLnZZyc,86.003,4,180.52203,-6.365,4,3980511
MIDDLE CHILD,J. Cole,5443762,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8,47,2JvzF1RMd7lE3KmFlsyZD8,123.984,8,213.59357,-11.713,4,4709738
Don't Stop Me Now - 2011 Mix,Queen,4797103,https://open.spotify.com/track/5T8EDUDqKcs6OSOwEsfqG7,47,5T8EDUDqKcs6OSOwEsfqG7,156.295,5,209.41333,-5.276,4,4617564
Another One Bites The Dust - Remastered 2011,Queen,4616799,https://open.spotify.com/track/5vdp5UmvTsnMEMESIF2Ym7,47,5vdp5UmvTsnMEMESIF2Ym7,109.967,5,214.65334,-6.472,4,4733106
Con Calma,Daddy Yankee,6065658,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m,47,5w9c2J52mkdntKOmRLeM2m,93.989,8,193.22667,-2.652,4,4260648
Better,Khalid,5233263,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ,47,6zeeWid2sgw4lap2jV61PZ,97.949,0,229.32,-10.278,4,5056506
Swervin (feat. 6ix9ine),A Boogie Wit da Hoodie,4405194,https://open.spotify.com/track/1wJRveJZLSb1rjhnUHQiv6,45,1wJRveJZLSb1rjhnUHQiv6,93.023,9,189.48659,-5.239,4,4178179
"thank u, next",Ariana Grande,6105328,https://open.spotify.com/track/3e9HZxeyfWwjeyPAMmWSSQ,45,3e9HZxeyfWwjeyPAMmWSSQ,106.966,1,207.32,-5.634,4,4571406
7 rings,Ariana Grande,9747014,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF,45,6ocbgoVGwYJhOv1GgI9NsF,140.048,1,178.62666,-10.732,4,3938718
Photograph,Ed Sheeran,4556932,https://open.spotify.com/track/6fxVffaTuwjgEk5h9QyRjy,44,6fxVffaTuwjgEk5h9QyRjy,107.989,4,258.98666,-10.48,4,5710656
God's Plan,Drake,5178474,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn,43,6DCZcSspjsKoFjzjrWoCdn,77.169,7,198.97333,-9.211,4,4387362
In My Mind,Dynoro,4354652,https://open.spotify.com/track/0E9ZjEAyAwOXZ7wJC0PD33,40,0E9ZjEAyAwOXZ7wJC0PD33,125.905,6,184.56,-5.335,4,4069548
Bohemian Rhapsody - 2011 Mix,Queen,7069412,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv,40,4u7EnebtmKWzUH433cf5Qv,71.105,0,354.32,-9.928,4,7812756
MIA (feat. Drake),Bad Bunny,4538052,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO,39,116H0KvKr2Zl4RPuVBruDO,97.062,6,210.36784,-6.349,4,4638611
Havana (feat. Young Thug),Camila Cabello,4372874,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W,39,1rfofaqEpACxVEHIZBJe6W,104.988,2,217.30667,-4.333,4,4791612
bad guy,Billie Eilish,17361194,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m,39,2Fxmhks0bxGSBdJ92vM42m,135.128,7,194.08784,-10.965,4,4279637
Con Altura,ROSALÍA,5980685,https://open.spotify.com/track/2qG5sZ7Si6sdK74qLxedYM,39,2qG5sZ7Si6sdK74qLxedYM,97.963,6,161.62666,-4.027,4,3563868
when the party's over,Billie Eilish,8921375,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I,39,43zdsphuZLzwA9k4DJhU0I,82.642,4,196.07706,-14.084,4,4323499
bury a friend,Billie Eilish,6312404,https://open.spotify.com/track/4SSnFejRGlZikf02HLewEF,39,4SSnFejRGlZikf02HLewEF,120.046,8,193.14331,-14.505,4,4258810
Don't Call Me Up,Mabel,5647097,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8,39,5WHTFyqSii0lmT9R21abT8,98.994,9,178.48,-2.853,4,3935484
Closer,The Chainsmokers,4489620,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw,39,7BKLCZ1jbUBVqRi2FVlTVw,95.01,8,244.96,-5.599,4,5401368
i'm so tired...,Lauv,4316831,https://open.spotify.com/track/7COXchtUOMd6uIT6HvmRaI,38,7COXchtUOMd6uIT6HvmRaI,102.211,11,162.58281,-7.058,4,3584951
3 Nights,Dominic Fike,5128651,https://open.spotify.com/track/1tNJrcVe6gwLEiZCtprs1u,37,1tNJrcVe6gwLEiZCtprs1u,151.891,7,177.66667,-6.594,4,3917550
Talk (feat. Disclosure),Khalid,5549492,https://open.spotify.com/track/6TqXcAFInzjp0bODyvrWEq,37,6TqXcAFInzjp0bODyvrWEq,135.984,0,197.57333,-8.575,4,4356492
Under Pressure - Remastered,Queen,4428302,https://open.spotify.com/track/2fuCquhmrzHpu5xcA1ci9x,36,2fuCquhmrzHpu5xcA1ci9x,113.805,2,248.44,-7.815,4,5478102
ocean eyes,Billie Eilish,5882072,https://open.spotify.com/track/2uIX8YMNjGMD7441kqyyNU,36,2uIX8YMNjGMD7441kqyyNU,144.828,4,200.56,-7.725,4,4422348
Wonderwall - Remastered,Oasis,4470839,https://open.spotify.com/track/5qqabIl2vWzo9ApSC317sa,36,5qqabIl2vWzo9ApSC317sa,174.302,2,258.77332,-4.066,4,5705952
Drip Too Hard (Lil Baby & Gunna),Lil Baby,4502721,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE,36,78QR3Wp35dqAhFEc2qAGjE,112.511,1,145.54254,-6.903,4,3209213
Suge,DaBaby,5701935,https://open.spotify.com/track/2gwkD6igEhQbDQegRCcdoB,35,2gwkD6igEhQbDQegRCcdoB,75.445,2,163.32,-6.482,4,3601206
Psycho (feat. Ty Dolla $ign),Post Malone,4573226,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C,35,3swc6WTsr7rl9DqQKQA55C,140.06,8,221.44,-8.094,4,4882752
I Like It,Cardi B,4680791,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z,35,58q2HKrzhC3ozto2nDdN4z,136.048,5,253.39029,-3.998,4,5587256
Wow.,Post Malone,8033506,https://open.spotify.com/track/6MWtB6iiXyIwun0YzU6DFP,35,6MWtB6iiXyIwun0YzU6DFP,99.947,11,149.52,-7.399,4,3296916
Something Just Like This,The Chainsmokers,4654343,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW,35,6RUKPb4LETWmmr3iAEQktW,103.019,11,247.16,-6.769,4,5449878
Piece Of Your Heart,MEDUZA,6742545,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs,34,1DFD5Fotzgn6yYXkYsKiGs,124.08,10,152.9132,-6.806,4,3371736
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,14695973,https://open.spotify.com/track/3KkXRkHbMCARz0aVfEt68P,34,3KkXRkHbMCARz0aVfEt68P,89.911,2,158.04,-5.574,4,3484782
Truth Hurts,Lizzo,6574451,https://open.spotify.com/track/5qmq61DAAOUaW8AUo8xKhh,34,5qmq61DAAOUaW8AUo8xKhh,158.087,4,173.32516,-3.046,4,3821820
The Middle,Zedd,4419337,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc,33,09IStsImFySgyp0pIQdqAc,107.01,7,184.73206,-3.061,4,4073342
lovely (with Khalid),Billie Eilish,8330054,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4,33,0u2P5u6lvoDfwTYjAADbn4,115.284,4,200.18571,-10.109,4,4414095
idontwannabeyouanymore,Billie Eilish,4333573,https://open.spotify.com/track/40T5GIqQ1CegGm2PTEl8Bu,33,40T5GIqQ1CegGm2PTEl8Bu,170.163,7,203.56947,-8.461,3,4488707
Close To Me (with Diplo) (feat. Swae Lee),Ellie Goulding,4354374,https://open.spotify.com/track/5JEx7HbmvHQQswJCsoo9rA,33,5JEx7HbmvHQQswJCsoo9rA,144.107,1,182.62337,-5.029,4,4026845
Be Alright,Dean Lewis,5398139,https://open.spotify.com/track/5qrSlOut2rNAWv3ubArkNy,33,5qrSlOut2rNAWv3ubArkNy,126.421,11,196.49333,-7.595,4,4332678
Body (feat. brando),Loud Luxury,4512483,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs,33,7K7MUBCnzgBAvMVW2RTWNs,121.958,1,163.21628,-4.399,4,3598919
"break up with your girlfriend, i'm bored",Ariana Grande,4603746,https://open.spotify.com/track/4kV4N9D1iKVxx1KLvtTpjS,32,4kV4N9D1iKVxx1KLvtTpjS,169.999,5,190.44,-5.29,4,4199202
Promises (with Sam Smith),Calvin Harris,4280989,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg,32,5N5k9nd479b1xpDZ4usjrg,123.07,11,213.3093,-5.991,4,4703470
Someone You Loved,Lewis Capaldi,19547865,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf,32,7qEHsqek33rTcFNT9PFqLf,109.891,1,182.16054,-5.679,4,4016640
No Me Conoce - Remix,Jhay Cortez,9335003,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P,31,4R8BJggjosTswLxtkw8V7P,91.973,10,309.12,-3.831,4,6816096
Te Robaré,Nicky Jam,4654488,https://open.spotify.com/track/6v0lAdFF4haL8xjBIUjtOw,31,6v0lAdFF4haL8xjBIUjtOw,175.997,2,201.81819,-3.572,4,4450091
Murder On My Mind,YNW Melly,4392529,https://open.spotify.com/track/7eBqSVxrzQZtK2mmgRG6lC,31,7eBqSVxrzQZtK2mmgRG6lC,115.007,0,268.4343,-7.985,4,5918976
One Kiss (with Dua Lipa),Calvin Harris,4313556,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6,31,7ef4DlsgrMEH11cDZd32M6,123.994,9,214.84676,-3.24,4,4737371
11:00 PM,Maluma,5572970,https://open.spotify.com/track/7KbF6AdprOXEEHlsq11Z6d,31,7KbF6AdprOXEEHlsq11Z6d,95.692,10,175.73334,-4.84,4,3874920
Callaita,Bad Bunny,9737419,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI,30,2TH65lNHgvLxCKXM3apjxI,176.169,2,250.53397,-4.773,4,5524274
Secreto,Anuel AA,4609644,https://open.spotify.com/track/5W83ErFkO3aKAIS1WMi6u0,30,5W83ErFkO3aKAIS1WMi6u0,91.987,11,258.8,-4.156,4,5706540
So Am I,Ava Max,4572768,https://open.spotify.com/track/0uUNN1nSoUx1A4fkDCWDQ7,29,0uUNN1nSoUx1A4fkDCWDQ7,130.089,6,183.02667,-4.67,4,4035738
Sucker,Jonas Brothers,6610000,https://open.spotify.com/track/22vgEDb5hykfaTwLuskFGD,29,22vgEDb5hykfaTwLuskFGD,137.958,1,181.02667,-5.065,4,3991638
Verte Ir,DJ Luian,4566790,https://open.spotify.com/track/4lzxJ4jCuFDXXGkE1LmpKR,29,4lzxJ4jCuFDXXGkE1LmpKR,95.982,11,267.5,-4.152,4,5898375
Here With Me,Marshmello,4608613,https://open.spotify.com/track/5icOoE6VgqFKohjWWNp0Ac,29,5icOoE6VgqFKohjWWNp0Ac,99.961,5,156.34666,-3.933,4,3447444
Giant (with Rag'n'Bone Man),Calvin Harris,4324320,https://open.spotify.com/track/5itOtNx0WxtJmi1TQ3RuRd,29,5itOtNx0WxtJmi1TQ3RuRd,122.015,1,229.18413,-4.311,4,5053510
Boy With Luv (feat. Halsey),BTS,5203784,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c,29,5KawlOMHjWeUjQtnuRs22c,119.991,11,229.77347,-4.757,4,5066505
Baila Baila Baila,Ozuna,4372694,https://open.spotify.com/track/7uH27oIt4a6cIFCA8ZPcyG,29,7uH27oIt4a6cIFCA8ZPcyG,99.966,11,158.4,-2.75,4,3492720
Otro Trago,Sech,4495639,https://open.spotify.com/track/1Ej96GIBCTvgH7tNX1r3qr,28,1Ej96GIBCTvgH7tNX1r3qr,176.044,0,225.93333,-4.669,4,4981830
Bad Liar,Imagine Dragons,4512253,https://open.spotify.com/track/2RSHsoi04658QL5xgQVov3,28,2RSHsoi04658QL5xgQVov3,177.913,3,260.77332,-6.993,4,5750052
Look Back at It,A Boogie Wit da Hoodie,4465519,https://open.spotify.com/track/3Ol2xnObFdKV9pmRD2t9x8,28,3Ol2xnObFdKV9pmRD2t9x8,96.057,3,179.44948,-5.075,4,3956861
All of Me,John Legend,4770253,https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a,28,3U4isOIWM3VvDubwSI3y7a,119.93,8,269.56,-7.064,4,5943798
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,6611596,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM,28,4w8niZpiMy6qz1mntFA5uM,95.881,8,212.5,-4.167,4,4685625
Get You The Moon (feat. Snøw),Kina,5553543,https://open.spotify.com/track/4ZLzoOkj0MPWrTLvooIuaa,28,4ZLzoOkj0MPWrTLvooIuaa,118.917,1,179.08,-16.541,4,3948714
Money In The Grave (Drake ft. Rick Ross),Drake,6466476,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb,28,5ry2OE6R2zPQFDO85XkgRb,100.541,10,205.42667,-4.045,4,4529658
Lost In Japan,Shawn Mendes,4361450,https://open.spotify.com/track/79esEXlqqmq0GPz0xQSZTV,28,79esEXlqqmq0GPz0xQSZTV,105.027,10,201.2,-6.784,4,4436460
Only Human,Jonas Brothers,5216000,https://open.spotify.com/track/0DiDStADDVh3SvAsoJAFMk,27,0DiDStADDVh3SvAsoJAFMk,94.01,0,183.0,-5.883,4,4035150
ZEZE (feat. Travis Scott & Offset),Kodak Black,4394111,https://open.spotify.com/track/0FZ4Dmg8jJJAPJnvBIzD9z,27,0FZ4Dmg8jJJAPJnvBIzD9z,98.043,8,228.75955,-5.788,4,5044148
Rescue Me,OneRepublic,4449136,https://open.spotify.com/track/0mjAU3yKR1QnXnHtjGJqTM,27,0mjAU3yKR1QnXnHtjGJqTM,121.049,7,158.89977,-7.737,4,3503740
Always Remember Us This Way,Lady Gaga,4463480,https://open.spotify.com/track/2rbDhOo9Fh61Bbu23T2qCk,27,2rbDhOo9Fh61Bbu23T2qCk,129.976,0,210.2,-5.972,4,4634910
i love you,Billie Eilish,4426820,https://open.spotify.com/track/6CcJMwBtXByIz4zQLzFkKc,27,6CcJMwBtXByIz4zQLzFkKc,137.446,0,291.79602,-18.435,4,6434102
Te Vi,Piso 21,4562391,https://open.spotify.com/track/059bcIhyc2SBwm6sw2AZzd,26,059bcIhyc2SBwm6sw2AZzd,102.02,1,231.84798,-4.246,4,5112248
LA CANCIÓN,J Balvin,10521939,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18,26,0fea68AdmYNygeTGI4RC18,176.089,7,242.57333,-5.795,4,5348742
Amanece,Anuel AA,4479800,https://open.spotify.com/track/1LiN0Z98FkR1t0m8KmLcAH,26,1LiN0Z98FkR1t0m8KmLcAH,94.039,8,190.0048,-5.549,4,4189606
Africa,TOTO,4545634,https://open.spotify.com/track/2374M0fQpWi3dLnB54qaLX,26,2374M0fQpWi3dLnB54qaLX,92.717,9,295.89334,-18.064,4,6524448
QUE PRETENDES,J Balvin,5502509,https://open.spotify.com/track/25ZAibhr3bdlMCLmubZDVt,26,25ZAibhr3bdlMCLmubZDVt,92.603,10,222.34666,-4.443,4,4902744
Congratulations,Post Malone,4543995,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9,26,3a1lNhkSLSkpJE4MSHpDu9,123.146,6,220.29333,-4.183,4,4857468
wish you were gay,Billie Eilish,5415885,https://open.spotify.com/track/3Fj47GNK2kUF0uaEDgXLaD,26,3Fj47GNK2kUF0uaEDgXLaD,118.028,7,221.54346,-10.198,4,4885033
Lalala,Y2K,9985983,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo,26,51Fjme0JiitpyXKuyQiCDo,129.972,2,160.62666,-7.899,4,3541818
Never Really Over,Katy Perry,4490697,https://open.spotify.com/track/5PYQUBXc7NYeI1obMKSJK0,26,5PYQUBXc7NYeI1obMKSJK0,99.991,8,223.52322,-4.792,4,4928687
goosebumps,Travis Scott,5599713,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2,26,6gBFPUFcJLzWGx4lenP6h2,130.049,7,243.83691,-3.37,4,5376604
No Guidance (feat. Drake),Chris Brown,6116878,https://open.spotify.com/track/6XHVuErjQ4XNm6nDPVCxVX,26,6XHVuErjQ4XNm6nDPVCxVX,92.932,1,260.64,-6.756,4,5747112
In My Feelings,Drake,4432703,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ,25,2G7V7zsVDxg1yRsu7Ew9RJ,91.03,1,217.92535,-5.833,4,4805254
New Rules,Dua Lipa,4435045,https://open.spotify.com/track/2xJCMIJfcNYDc5iR0sAm2O,25,2xJCMIJfcNYDc5iR0sAm2O,116.073,9,209.32,-6.021,4,4615506
Saturday Nights,Khalid,4440742,https://open.spotify.com/track/5kfNriitmkNE8mUbZ7gbq8,25,5kfNriitmkNE8mUbZ7gbq8,167.923,10,210.66667,-8.559,4,4645200
Higher Love,Kygo,5553807,https://open.spotify.com/track/6oJ6le65B3SEqPwMRNXWjY,25,6oJ6le65B3SEqPwMRNXWjY,103.952,8,228.26735,-7.159,4,5033295
Goodbyes (Feat. Young Thug),Post Malone,8884583,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo,25,6vBdBCoOhKHiYDDOcorfNo,150.231,5,174.96,-3.818,4,3857868
IDGAF,Dua Lipa,4421926,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr,25,76cy1WJvNGJTj78UqeA5zr,97.028,7,217.94667,-5.975,4,4805724
I Don't Care (with Justin Bieber),Ed Sheeran,11441370,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9,24,0hVXuCcriWRGvwMV1r5Yn9,101.956,6,219.94667,-5.041,4,4849824
no tears left to cry,Ariana Grande,4469013,https://open.spotify.com/track/2qT1uLXPVPzGgFOx4jtEuo,24,2qT1uLXPVPzGgFOx4jtEuo,121.993,9,205.92,-5.507,4,4540536
a lot,21 Savage,4559627,https://open.spotify.com/track/2t8yVaLvJ0RenpXUIAC52d,24,2t8yVaLvJ0RenpXUIAC52d,145.972,1,288.62418,-7.643,4,6364163
South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,9070947,https://open.spotify.com/track/4vUmTMuQqjdnvlZmAH61Qk,24,4vUmTMuQqjdnvlZmAH61Qk,97.989,9,204.46667,-6.376,4,4508490
bellyache,Billie Eilish,4418603,https://open.spotify.com/track/51NFxnQvaosfDDutk0tams,24,51NFxnQvaosfDDutk0tams,99.939,4,179.17238,-8.597,4,3950751
Beautiful People (feat. Khalid),Ed Sheeran,11743406,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv,24,70eFcWOvlMObDhURTqT4Fv,92.979,5,197.86667,-8.114,4,4362960
Que Mas Pues - Remix,Sech,4541592,https://open.spotify.com/track/7fODjB7BrQTGqh0hogW6XD,24,7fODjB7BrQTGqh0hogW6XD,113.358,11,305.962,-5.027,5,6746462
Pa Mí - Remix,Dalex,4352452,https://open.spotify.com/track/7g8YaUQABMal0zWe7a2ijz,24,7g8YaUQABMal0zWe7a2ijz,170.011,11,360.96027,-8.029,4,7959174
Dance Monkey,Tones And I,47797217,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku,23,1rgnBhdG2JDFTbYkYRZAku,98.078,6,209.75456,-6.401,4,4625088
Natural,Imagine Dragons,4518932,https://open.spotify.com/track/2FY7b99s15jUprqC0M5NCT,23,2FY7b99s15jUprqC0M5NCT,100.0,2,189.46667,-6.112,4,4177740
China,Anuel AA,12902216,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK,23,2ksOAxtIxY8yElEWw8RhgK,105.027,7,301.7143,-3.702,4,6652800
One Thing Right,Marshmello,4714930,https://open.spotify.com/track/4hPpVbbakQNv8YTHYaOJP4,23,4hPpVbbakQNv8YTHYaOJP4,88.042,4,181.8238,-2.253,4,4009215
How Do You Sleep?,Sam Smith,9865958,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y,23,6b2RcmUt1g9N9mQ3CbjX2Y,110.567,1,202.20494,-4.931,5,4458619
Pop Out (feat. Lil Tjay),Polo G,4431920,https://open.spotify.com/track/6uFn47ACjqYkc0jADwEdj1,23,6uFn47ACjqYkc0jADwEdj1,168.112,1,166.56,-7.119,4,3672648
Mo Bamba,Sheck Wes,4443931,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr,22,1xzBco0xcoJEDXktl7Jxrr,146.034,4,183.90668,-5.266,4,4055142
Old Town Road - Remix,Lil Nas X,9299124,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG,22,2YpeDb67231RjR0MgVLzsG,136.041,6,157.06667,-5.56,4,3463320
Otro Trago - Remix,Sech,5659515,https://open.spotify.com/track/4bTZeO72FwMa6wKOiqoynL,22,4bTZeO72FwMa6wKOiqoynL,175.988,0,287.77332,-2.331,4,6345402
Bruises,Lewis Capaldi,5584568,https://open.spotify.com/track/4Of7rzpRpV1mWRbhp5rAqG,22,4Of7rzpRpV1mWRbhp5rAqG,111.202,4,220.49248,-7.83,4,4861859
Taste (feat. Offset),Tyga,5451367,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy,22,5IaHrVsrferBYDm0bDyABy,97.994,0,232.95914,-7.442,4,5136749
Tal Vez,Paulo Londra,4315029,https://open.spotify.com/track/5jW3rF4URMdK7tO2xjS5EI,22,5jW3rF4URMdK7tO2xjS5EI,161.986,8,263.89926,-2.443,4,5818979
Si Se Da,Myke Towers,4242584,https://open.spotify.com/track/5KbBGUpIZd6gVFUU8tqYiQ,22,5KbBGUpIZd6gVFUU8tqYiQ,93.977,11,237.01334,-5.523,4,5226144
Pure Water (with Migos),Mustard,6164287,https://open.spotify.com/track/63cd4JkwGgYJrbOizbfmsp,22,63cd4JkwGgYJrbOizbfmsp,202.006,0,194.51959,-5.545,4,4289157
all the good girls go to hell,Billie Eilish,4926395,https://open.spotify.com/track/6IRdLKIyS4p7XNiP8r6rsx,22,6IRdLKIyS4p7XNiP8r6rsx,185.044,8,168.83977,-8.922,4,3722917
